Ticker,Pass,Score,Entry,Stop,Target,Qty,PosValue,ATR14,RSI14,SMA50,SMA200,Breakout20,VolConfirm,Reason
APOLLOHOSP.NS,False,1,7821.5,7567.222763085495,8202.915855371757,3.0,23464.5,127.13861845725238,89.79540161302049,7228.604287109375,7363.764797363281,True,True,Vol bonus; Failed rule(s)
ASIANPAINT.NS,False,1,2376.199951171875,2295.271414620536,2497.592755998884,12.0,28514.3994140625,40.464268275669646,42.7362405875228,2609.6460009765624,2517.9327001953125,False,True,Vol bonus; Failed rule(s)
BAJAJFINSV.NS,False,1,1993.4000244140625,1932.0571463448662,2085.4143415178573,16.0,31894.400390625,30.671439034598215,42.51441237009537,2013.9240014648437,2023.5477044677734,False,True,Vol bonus; Failed rule(s)
BHARTIARTL.NS,False,1,1879.300048828125,1804.385777064732,1991.6714564732142,13.0,24430.900634765625,37.45713588169643,22.594005541379275,2027.3620043945311,1973.3666259765625,False,True,Vol bonus; Failed rule(s)
ETERNAL.NS,False,1,246.3000030517578,226.1857169015067,276.47143227713445,49.0,12068.700149536133,10.057143075125557,21.72755552428319,279.1730004882813,291.38879959106447,False,True,Vol bonus; Failed rule(s)
GRASIM.NS,False,1,2799.800048828125,2687.3857770647323,2968.421456473214,8.0,22398.400390625,56.20713588169643,33.819387106323916,2836.8679931640627,2781.751447753906,False,True,Vol bonus; Failed rule(s)
HCLTECH.NS,False,1,1389.0999755859375,1292.6285574776787,1533.8071027483259,10.0,13890.999755859375,48.235709054129465,21.75643265809788,1597.353681640625,1556.0788549804688,False,True,Vol bonus; Failed rule(s)
HDFCBANK.NS,False,1,887.75,858.5142735072544,931.6035897391183,34.0,30183.5,14.617863246372767,28.809918219110074,942.9569982910157,971.6997805786133,False,True,Vol bonus; Failed rule(s)
HINDUNILVR.NS,False,1,2338.10009765625,2240.585867745536,2484.3714425223216,10.0,23381.0009765625,48.757114955357146,38.20307140657676,2357.2599951171874,2419.6841015625,False,True,Vol bonus; Failed rule(s)
INDIGO.NS,False,1,4827.2001953125,4646.271693638393,5098.59294782366,5.0,24136.0009765625,90.46425083705357,39.21197732895713,4918.816005859375,5484.175854492188,False,True,Vol bonus; Failed rule(s)
INFY.NS,False,1,1300.0999755859375,1198.971400669643,1451.7928379603795,9.0,11700.899780273438,50.56428745814732,17.226483608603786,1552.9919995117189,1525.1907489013672,False,True,Vol bonus; Failed rule(s)
M&M.NS,False,1,3397.39990234375,3238.7713448660716,3635.342738560268,6.0,20384.3994140625,79.31427873883929,32.66339656783235,3584.34400390625,3424.0870922851564,False,True,Vol bonus; Failed rule(s)
TATACONSUM.NS,False,1,1141.0,1097.942836216518,1205.5857456752233,23.0,26243.0,21.528581891741073,41.00277005523342,1167.9519970703125,1130.5214630126952,False,True,Vol bonus; Failed rule(s)
ADANIENT.NS,False,0,2161.800048828125,2046.114467075893,2335.3284214564733,8.0,17294.400390625,57.84279087611607,40.780944680621104,2173.2380029296874,2380.860792236328,False,False,Failed rule(s)
HINDALCO.NS,False,0,924.7000122070312,872.4857177734375,1003.0214538574219,19.0,17569.300231933594,26.107147216796875,39.605788408745816,925.6120043945313,777.7216189575196,False,False,Failed rule(s)
ICICIBANK.NS,False,0,1378.9000244140625,1339.7857317243304,1437.5714634486608,25.0,34472.50061035156,19.557146344866073,44.13744940120475,1385.4040063476561,1400.5911767578125,False,False,Failed rule(s)
ITC.NS,False,0,313.6000061035156,302.49285888671875,330.26072692871094,90.0,28224.000549316406,5.5535736083984375,40.534999450558075,336.23112060546873,386.45620956420896,False,False,Failed rule(s)
JIOFIN.NS,False,0,255.39999389648438,246.8428453717913,268.235716683524,116.0,29626.399291992188,4.27857426234654,19.825750937133904,275.19100006103514,299.2761093902588,False,False,Failed rule(s)
KOTAKBANK.NS,False,0,415.20001220703125,400.1571611676897,437.76428876604353,66.0,27403.200805664062,7.521425519670759,38.153336409900874,424.8277996826172,419.7411782836914,False,False,Failed rule(s)
RELIANCE.NS,False,0,1393.9000244140625,1342.7143031529017,1470.6786063058037,19.0,26484.100463867188,25.592860630580358,34.24850976618637,1464.6100024414063,1449.481008911133,False,False,Failed rule(s)
TCS.NS,False,0,2637.39990234375,2471.1427176339284,2886.785679408482,6.0,15824.3994140625,83.12859235491071,24.039436070553577,3033.6711181640626,3095.7006567382814,False,False,Failed rule(s)
TMPV.NS,False,0,,,,,,,,,,,,Not enough rows
TECHM.NS,False,0,1357.800048828125,1245.9143240792412,1525.6286359514509,8.0,10862.400390625,55.942862374441965,13.819610499848707,1599.2380053710938,1531.5357141113282,False,False,Failed rule(s)
TRENT.NS,False,0,3899.5,3708.5142996651784,4185.978550502232,5.0,19497.5,95.49285016741071,29.549911502343292,4048.50998046875,4833.75421875,False,False,Failed rule(s)
WIPRO.NS,False,0,200.9600067138672,188.36714390345983,219.84930092947823,79.0,15875.840530395508,6.296431405203683,13.888901503626244,238.69801055908204,242.1543490600586,False,False,Failed rule(s)
